,estimate,p.value,statistic,n,gp,Method
LeftMidPostTemp_CT    LeftMidPostTemp_GMV,0.70448576,0.001098057,3.970510192,19,1,pearson
LeftMidPostTemp_CT    LeftPostTemp_GMV,0.456528969,0.05685429,2.052487729,19,1,pearson
LeftMidPostTemp_CT    LeftPostTemp_CT,0.187263241,0.45683174,0.76254252,19,1,pearson
LeftMidPostTemp_CT    RightMidAntTemp_GMV,0.330700047,0.180116154,1.401663501,19,1,pearson
LeftMidPostTemp_CT    RightMidAntTemp_CT,0.431198358,0.074002142,1.911642837,19,1,pearson
LeftMidPostTemp_CT    RightMidPostTemp_GMV,0.622111682,0.005836851,3.178383066,19,1,pearson
LeftMidPostTemp_CT    RightMidPostTemp_CT,0.647317715,0.003683323,3.397011182,19,1,pearson
LeftMidPostTemp_CT    SSL_accuracy,-0.095544547,0.706081103,-0.383934631,19,1,pearson
LeftMidPostTemp_CT    mean_rt,0.074480031,0.768976113,0.2987499,19,1,pearson
LeftMidPostTemp_CT    scaled_rt_slope,-0.062939505,0.804053401,-0.252258163,19,1,pearson
LeftMidPostTemp_CT    TSL_subj_corr,-0.154323995,0.540923242,-0.624780668,19,1,pearson
LeftMidPostTemp_CT    VSL_subj_corr,-0.218030275,0.384770022,-0.8936198,19,1,pearson
LeftMidPostTemp_CT    LSL_subj_corr,0.001772868,0.994429529,0.007091484,19,1,pearson
LeftMidPostTemp_CT    eTIV,-1.000000002,NA,NA,19,1,pearson
LeftPostTemp_GMV    LeftAngG_GMV,0.485012343,0.041338656,2.218448448,19,1,pearson
LeftPostTemp_GMV    LeftAngG_CT,-0.064554006,0.799123057,-0.258755732,19,1,pearson
LeftPostTemp_GMV    LeftIFG_GMV,0.324321943,0.189173031,1.371417319,19,1,pearson
LeftPostTemp_GMV    LeftIFG_CT,0.103711952,0.682150046,0.417097056,19,1,pearson
LeftPostTemp_GMV    LeftIFGorb_GMV,-0.12812272,0.612399705,-0.516749763,19,1,pearson
LeftPostTemp_GMV    LeftIFGorb_CT,-0.200712367,0.424526132,-0.81952666,19,1,pearson
LeftPostTemp_GMV    LeftMFG_GMV,0.591774287,0.009679206,2.93646725,19,1,pearson
LeftPostTemp_GMV    LeftMFG_CT,0.357942453,0.144720159,1.533364983,19,1,pearson
LeftPostTemp_GMV    LeftMidAntTemp_GMV,0.172590818,0.493445156,0.700880965,19,1,pearson
LeftPostTemp_GMV    LeftMidAntTemp_CT,0.236293653,0.345169455,0.97272041,19,1,pearson
LeftPostTemp_GMV    LeftMidPostTemp_GMV,0.767235267,0.000202422,4.785009176,19,1,pearson
LeftPostTemp_GMV    LeftMidPostTemp_CT,0.456528969,0.05685429,2.052487729,19,1,pearson
LeftPostTemp_GMV    LeftPostTemp_CT,0.510947221,0.030237654,2.37757114,19,1,pearson
LeftPostTemp_GMV    RightMidAntTemp_GMV,-0.058869497,0.816513233,-0.235887091,19,1,pearson
LeftPostTemp_GMV    RightMidAntTemp_CT,0.121722732,0.630412157,0.490538504,19,1,pearson
LeftPostTemp_GMV    RightMidPostTemp_GMV,0.321224587,0.193678576,1.356804878,19,1,pearson
LeftPostTemp_GMV    RightMidPostTemp_CT,0.39727915,0.1025708,1.73163385,19,1,pearson
LeftPostTemp_GMV    SSL_accuracy,-0.252609721,0.311865254,-1.044307599,19,1,pearson
LeftPostTemp_GMV    mean_rt,0.293533973,0.237118069,1.228241601,19,1,pearson
LeftPostTemp_GMV    scaled_rt_slope,-0.002671037,0.9916075,-0.010684188,19,1,pearson
LeftPostTemp_GMV    TSL_subj_corr,0.350210498,0.154232567,1.495553887,19,1,pearson
LeftPostTemp_GMV    VSL_subj_corr,-0.178170442,0.479357363,-0.724270355,19,1,pearson
LeftPostTemp_GMV    LSL_subj_corr,-0.217862583,0.385144809,-0.892898235,19,1,pearson
LeftPostTemp_GMV    eTIV,0.090765858,0.720207316,0.364568274,19,1,pearson
LeftPostTemp_CT    LeftAngG_GMV,0.47261441,0.047634358,2.145153122,19,1,pearson
LeftPostTemp_CT    LeftAngG_CT,0.43477329,0.071375843,1.93116716,19,1,pearson
LeftPostTemp_CT    LeftIFG_GMV,0.230844641,0.356730293,0.949010753,19,1,pearson
LeftPostTemp_CT    LeftIFG_CT,0.449269416,0.061428157,2.011512268,19,1,pearson
LeftPostTemp_CT    LeftIFGorb_GMV,-0.224478258,0.370512284,-0.921428724,19,1,pearson
LeftPostTemp_CT    LeftIFGorb_CT,0.171158004,0.497094788,0.694886036,19,1,pearson
LeftPostTemp_CT    LeftMFG_GMV,0.090460291,0.721113593,0.363330797,19,1,pearson
LeftPostTemp_CT    LeftMFG_CT,0.72640136,0.000640269,4.227745033,19,1,pearson
LeftPostTemp_CT    LeftMidAntTemp_GMV,-0.148712903,0.555908121,-0.601540494,19,1,pearson
LeftPostTemp_CT    LeftMidAntTemp_CT,0.256408016,0.304396981,1.061106293,19,1,pearson
LeftPostTemp_CT    LeftMidPostTemp_GMV,0.172193113,0.494456881,0.699216499,19,1,pearson
LeftPostTemp_CT    LeftMidPostTemp_CT,0.187263241,0.45683174,0.76254252,19,1,pearson
LeftPostTemp_CT    LeftPostTemp_GMV,0.510947221,0.030237654,2.37757114,19,1,pearson
LeftPostTemp_CT    RightMidAntTemp_GMV,0.143037405,0.571248181,0.578093996,19,1,pearson
LeftPostTemp_CT    RightMidAntTemp_CT,0.099596323,0.694174709,0.40037599,19,1,pearson
LeftPostTemp_CT    RightMidPostTemp_GMV,0.059576897,0.81434452,0.238731644,19,1,pearson
LeftPostTemp_CT    RightMidPostTemp_CT,0.519900829,0.026997382,2.43448665,19,1,pearson
LeftPostTemp_CT    SSL_accuracy,-0.329932927,0.181189782,-1.398014397,19,1,pearson
LeftPostTemp_CT    mean_rt,0.314549241,0.203628928,1.325476625,19,1,pearson
LeftPostTemp_CT    scaled_rt_slope,0.113474639,0.653920491,0.456849393,19,1,pearson
LeftPostTemp_CT    TSL_subj_corr,0.01926482,0.939520588,0.077073585,19,1,pearson
LeftPostTemp_CT    VSL_subj_corr,0.140832808,0.577255458,0.569002255,19,1,pearson
LeftPostTemp_CT    LSL_subj_corr,-0.289054294,0.244684735,-1.20777377,19,1,pearson
LeftPostTemp_CT    eTIV,1,NA,NA,19,1,pearson
RightMidAntTemp_GMV    LeftAngG_GMV,0.470793789,0.048616841,2.134530456,19,1,pearson
RightMidAntTemp_GMV    LeftAngG_CT,0.338682766,0.169196553,1.43982375,19,1,pearson
RightMidAntTemp_GMV    LeftIFG_GMV,-0.380983775,0.118796787,-1.648242728,19,1,pearson
RightMidAntTemp_GMV    LeftIFG_CT,0.015301764,0.951946738,0.061214224,19,1,pearson
RightMidAntTemp_GMV    LeftIFGorb_GMV,-0.294275288,0.235880466,-1.231637187,19,1,pearson
RightMidAntTemp_GMV    LeftIFGorb_CT,-0.114136069,0.652023473,-0.459547359,19,1,pearson
RightMidAntTemp_GMV    LeftMFG_GMV,0.057083563,0.821994078,0.228707182,19,1,pearson
RightMidAntTemp_GMV    LeftMFG_CT,0.270846974,0.276996071,1.125454672,19,1,pearson
RightMidAntTemp_GMV    LeftMidAntTemp_GMV,0.129150751,0.609525626,0.52096611,19,1,pearson
RightMidAntTemp_GMV    LeftMidAntTemp_CT,0.213262728,0.395503614,0.87313754,19,1,pearson
RightMidAntTemp_GMV    LeftMidPostTemp_GMV,0.110427949,0.662684497,0.444429871,19,1,pearson
RightMidAntTemp_GMV    LeftMidPostTemp_CT,0.330700047,0.180116154,1.401663501,19,1,pearson
RightMidAntTemp_GMV    LeftPostTemp_GMV,-0.058869497,0.816513233,-0.235887091,19,1,pearson
RightMidAntTemp_GMV    LeftPostTemp_CT,0.143037405,0.571248181,0.578093996,19,1,pearson
RightMidAntTemp_GMV    RightMidAntTemp_CT,0.361173481,0.140867997,1.54927188,19,1,pearson
RightMidAntTemp_GMV    RightMidPostTemp_GMV,0.026152779,0.917956603,0.104646908,19,1,pearson
RightMidAntTemp_GMV    RightMidPostTemp_CT,0.245269338,0.326603591,1.011988566,19,1,pearson
RightMidAntTemp_GMV    SSL_accuracy,0.015275533,0.952029025,0.061109262,19,1,pearson
RightMidAntTemp_GMV    mean_rt,-0.042124844,0.868186245,-0.168649078,19,1,pearson
RightMidAntTemp_GMV    scaled_rt_slope,0.26890833,0.280583797,1.116768625,19,1,pearson
RightMidAntTemp_GMV    TSL_subj_corr,-0.100141136,0.692578854,-0.402588259,19,1,pearson
RightMidAntTemp_GMV    VSL_subj_corr,-0.294104662,0.236164955,-1.23085542,19,1,pearson
RightMidAntTemp_GMV    LSL_subj_corr,-0.246907991,0.323278603,-1.019187091,19,1,pearson
RightMidAntTemp_GMV    eTIV,-1,NA,NA,19,1,pearson
RightMidAntTemp_CT    LeftAngG_GMV,-0.003639008,0.988566265,-0.014556127,19,1,pearson
RightMidAntTemp_CT    LeftAngG_CT,0.064781451,0.798429063,0.25967125,19,1,pearson
RightMidAntTemp_CT    LeftIFG_GMV,-0.002757125,0.991337021,-0.01102854,19,1,pearson
RightMidAntTemp_CT    LeftIFG_CT,0.233821085,0.350388348,0.961949939,19,1,pearson
RightMidAntTemp_CT    LeftIFGorb_GMV,0.168149985,0.504798733,0.682315137,19,1,pearson
RightMidAntTemp_CT    LeftIFGorb_CT,0.157885259,0.531508234,0.639562776,19,1,pearson
RightMidAntTemp_CT    LeftMFG_GMV,0.043634321,0.86350405,0.174703675,19,1,pearson
RightMidAntTemp_CT    LeftMFG_CT,0.155059089,0.538973714,0.627829833,19,1,pearson
RightMidAntTemp_CT    LeftMidAntTemp_GMV,-0.086905254,0.731683139,-0.348941205,19,1,pearson
RightMidAntTemp_CT    LeftMidAntTemp_CT,0.141523594,0.575370257,0.571850116,19,1,pearson
RightMidAntTemp_CT    LeftMidPostTemp_GMV,0.118064849,0.640797697,0.475585696,19,1,pearson
RightMidAntTemp_CT    LeftMidPostTemp_CT,0.431198358,0.074002142,1.911642837,19,1,pearson
RightMidAntTemp_CT    LeftPostTemp_GMV,0.121722732,0.630412157,0.490538504,19,1,pearson
RightMidAntTemp_CT    LeftPostTemp_CT,0.099596323,0.694174709,0.40037599,19,1,pearson
RightMidAntTemp_CT    RightMidAntTemp_GMV,0.361173481,0.140867997,1.54927188,19,1,pearson
RightMidAntTemp_CT    RightMidPostTemp_GMV,0.458497578,0.055659223,2.063687717,19,1,pearson
RightMidAntTemp_CT    RightMidPostTemp_CT,0.387011169,0.112596893,1.678870623,19,1,pearson
RightMidAntTemp_CT    SSL_accuracy,0.090335341,0.721484282,0.362824807,19,1,pearson
RightMidAntTemp_CT    mean_rt,-0.278981623,0.262250913,-1.162064594,19,1,pearson
RightMidAntTemp_CT    scaled_rt_slope,0.152656103,0.545358383,0.617866194,19,1,pearson
RightMidAntTemp_CT    TSL_subj_corr,0.260488855,0.296493746,1.079213256,19,1,pearson
RightMidAntTemp_CT    VSL_subj_corr,-0.247300919,0.322484287,-1.020914582,19,1,pearson
RightMidAntTemp_CT    LSL_subj_corr,0.092130105,0.716165456,0.370094441,19,1,pearson
RightMidAntTemp_CT    eTIV,-0.999999997,9.43E-68,-55844.15794,19,1,pearson
RightMidPostTemp_GMV    LeftAngG_GMV,0.237706945,0.342206608,0.978885658,19,1,pearson
RightMidPostTemp_GMV    LeftAngG_CT,0.027952331,0.91233116,0.111853032,19,1,pearson
RightMidPostTemp_GMV    LeftIFG_GMV,0.152454309,0.545896082,0.617029997,19,1,pearson
RightMidPostTemp_GMV    LeftIFG_CT,0.051694629,0.838578794,0.207055361,19,1,pearson
RightMidPostTemp_GMV    LeftIFGorb_GMV,0.06916047,0.785096146,0.277305877,19,1,pearson
RightMidPostTemp_GMV    LeftIFGorb_CT,0.079542777,0.753717496,0.319182454,19,1,pearson
RightMidPostTemp_GMV    LeftMFG_GMV,0.179350316,0.476403966,0.729225455,19,1,pearson
RightMidPostTemp_GMV    LeftMFG_CT,0.344887168,0.161025462,1.469724891,19,1,pearson
RightMidPostTemp_GMV    LeftMidAntTemp_GMV,0.261553553,0.294452358,1.083947547,19,1,pearson
RightMidPostTemp_GMV    LeftMidAntTemp_CT,0.332181381,0.178055029,1.408718886,19,1,pearson
RightMidPostTemp_GMV    LeftMidPostTemp_GMV,0.448466112,0.061950663,2.007009152,19,1,pearson
RightMidPostTemp_GMV    LeftMidPostTemp_CT,0.622111682,0.005836851,3.178383066,19,1,pearson
RightMidPostTemp_GMV    LeftPostTemp_GMV,0.321224587,0.193678576,1.356804878,19,1,pearson
RightMidPostTemp_GMV    LeftPostTemp_CT,0.059576897,0.81434452,0.238731644,19,1,pearson
RightMidPostTemp_GMV    RightMidAntTemp_GMV,0.026152779,0.917956603,0.104646908,19,1,pearson
RightMidPostTemp_GMV    RightMidAntTemp_CT,0.458497578,0.055659223,2.063687717,19,1,pearson
RightMidPostTemp_GMV    RightMidPostTemp_CT,0.542322787,0.020061783,2.581966254,19,1,pearson
RightMidPostTemp_GMV    SSL_accuracy,-0.190891331,0.447996436,-0.777869427,19,1,pearson
RightMidPostTemp_GMV    mean_rt,0.024477551,0.923196742,0.097939548,19,1,pearson
RightMidPostTemp_GMV    scaled_rt_slope,-0.154122694,0.541457662,-0.623945859,19,1,pearson
RightMidPostTemp_GMV    TSL_subj_corr,0.343667623,0.162609918,1.463830425,19,1,pearson
RightMidPostTemp_GMV    VSL_subj_corr,-0.309107735,0.211984119,-1.300100739,19,1,pearson
RightMidPostTemp_GMV    LSL_subj_corr,0.427724922,0.076621445,1.892778785,19,1,pearson
RightMidPostTemp_GMV    eTIV,0.727562428,0.000621369,4.24209001,19,1,pearson
RightMidPostTemp_CT    LeftAngG_GMV,0.373522917,0.126800663,1.610670464,19,1,pearson
RightMidPostTemp_CT    LeftAngG_CT,0.415577596,0.086318768,1.827602948,19,1,pearson
RightMidPostTemp_CT    LeftIFG_GMV,0.141908044,0.574322207,0.573435432,19,1,pearson
RightMidPostTemp_CT    LeftIFG_CT,0.383009951,0.116686308,1.658510847,19,1,pearson
RightMidPostTemp_CT    LeftIFGorb_GMV,-0.02777988,0.91287008,-0.111162421,19,1,pearson
RightMidPostTemp_CT    LeftIFGorb_CT,0.292894535,0.238188909,1.225314613,19,1,pearson
RightMidPostTemp_CT    LeftMFG_GMV,0.180759497,0.472888411,0.735147836,19,1,pearson
RightMidPostTemp_CT    LeftMFG_CT,0.617636867,0.006308813,3.141338078,19,1,pearson
RightMidPostTemp_CT    LeftMidAntTemp_GMV,0.049591796,0.845068355,0.198611561,19,1,pearson
RightMidPostTemp_CT    LeftMidAntTemp_CT,0.700983558,0.001191741,3.931608181,19,1,pearson
RightMidPostTemp_CT    LeftMidPostTemp_GMV,0.363931484,0.137636536,1.562900724,19,1,pearson
RightMidPostTemp_CT    LeftMidPostTemp_CT,0.647317715,0.003683323,3.397011182,19,1,pearson
RightMidPostTemp_CT    LeftPostTemp_GMV,0.39727915,0.1025708,1.73163385,19,1,pearson
RightMidPostTemp_CT    LeftPostTemp_CT,0.519900829,0.026997382,2.43448665,19,1,pearson
RightMidPostTemp_CT    RightMidAntTemp_GMV,0.245269338,0.326603591,1.011988566,19,1,pearson
RightMidPostTemp_CT    RightMidAntTemp_CT,0.387011169,0.112596893,1.678870623,19,1,pearson
RightMidPostTemp_CT    RightMidPostTemp_GMV,0.542322787,0.020061783,2.581966254,19,1,pearson
RightMidPostTemp_CT    SSL_accuracy,-0.297491023,0.23055971,-1.246395111,19,1,pearson
RightMidPostTemp_CT    mean_rt,0.22607009,0.367038643,0.928313432,19,1,pearson
RightMidPostTemp_CT    scaled_rt_slope,-0.057277392,0.821398853,-0.229486316,19,1,pearson
RightMidPostTemp_CT    TSL_subj_corr,0.048078073,0.849745767,0.192534944,19,1,pearson
RightMidPostTemp_CT    VSL_subj_corr,-0.187157514,0.45709053,-0.762096361,19,1,pearson
RightMidPostTemp_CT    LSL_subj_corr,-0.194566065,0.439137718,-0.793427114,19,1,pearson
RightMidPostTemp_CT    eTIV,-1.000000001,NA,NA,19,1,pearson
,,,,,,
SSL_accuracy    LeftAngG_GMV,-0.05786323,0.819600383,-0.231841366,19,1,pearson
SSL_accuracy    LeftAngG_CT,0.03919433,0.87728811,0.156897878,19,1,pearson
SSL_accuracy    LeftIFG_GMV,-0.165850041,0.510727249,-0.672716627,19,1,pearson
SSL_accuracy    LeftIFG_CT,-0.196248295,0.435112887,-0.800560694,19,1,pearson
SSL_accuracy    LeftIFGorb_GMV,0.081268554,0.748535651,0.326153052,19,1,pearson
SSL_accuracy    LeftIFGorb_CT,-0.072723379,0.774289731,-0.291665802,19,1,pearson
SSL_accuracy    LeftMFG_GMV,0.016244668,0.948989207,0.064987248,19,1,pearson
SSL_accuracy    LeftMFG_CT,-0.280915302,0.258819324,-1.170806587,19,1,pearson
SSL_accuracy    LeftMidAntTemp_GMV,-0.523187027,0.025878431,-2.455649109,19,1,pearson
SSL_accuracy    LeftMidAntTemp_CT,-0.492687017,0.037773084,-2.264689903,19,1,pearson
SSL_accuracy    LeftMidPostTemp_GMV,-0.298669299,0.22862957,-1.251814166,19,1,pearson
SSL_accuracy    LeftMidPostTemp_CT,-0.095544547,0.706081103,-0.383934631,19,1,pearson
SSL_accuracy    LeftPostTemp_GMV,-0.252609721,0.311865254,-1.044307599,19,1,pearson
SSL_accuracy    LeftPostTemp_CT,-0.329932927,0.181189782,-1.398014397,19,1,pearson
SSL_accuracy    RightMidAntTemp_GMV,0.015275533,0.952029025,0.061109262,19,1,pearson
SSL_accuracy    RightMidAntTemp_CT,0.090335341,0.721484282,0.362824807,19,1,pearson
SSL_accuracy    RightMidPostTemp_GMV,-0.190891331,0.447996436,-0.777869427,19,1,pearson
SSL_accuracy    RightMidPostTemp_CT,-0.297491023,0.23055971,-1.246395111,19,1,pearson
SSL_accuracy    mean_rt,-0.29781956,0.230020486,-1.247905466,19,1,pearson
SSL_accuracy    scaled_rt_slope,-0.148036158,0.557727694,-0.598741595,19,1,pearson
SSL_accuracy    TSL_subj_corr,0.051146643,0.840268997,0.204854695,19,1,pearson
SSL_accuracy    VSL_subj_corr,0.253554471,0.309997574,1.048481081,19,1,pearson
SSL_accuracy    LSL_subj_corr,-0.176374347,0.483870502,-0.716733501,19,1,pearson
SSL_accuracy    eTIV,-0.999999998,1.37E-69,-72766.63764,19,1,pearson
mean_rt    LeftAngG_GMV,0.090342949,0.721461709,0.362855616,19,1,pearson
mean_rt    LeftAngG_CT,0.265694039,0.286594717,1.102399245,19,1,pearson
mean_rt    LeftIFG_GMV,0.18750177,0.456248164,0.763549188,19,1,pearson
mean_rt    LeftIFG_CT,0.17622785,0.484239526,0.716119093,19,1,pearson
mean_rt    LeftIFGorb_GMV,-0.226851829,0.365339492,-0.931697335,19,1,pearson
mean_rt    LeftIFGorb_CT,-0.137062654,0.587590402,-0.553474093,19,1,pearson
mean_rt    LeftMFG_GMV,-0.208135702,0.407226447,-0.851183769,19,1,pearson
mean_rt    LeftMFG_CT,0.189148088,0.452230683,0.770500996,19,1,pearson
mean_rt    LeftMidAntTemp_GMV,0.101496764,0.688613335,0.408094511,19,1,pearson
mean_rt    LeftMidAntTemp_CT,0.071830048,0.776995608,0.288064293,19,1,pearson
mean_rt    LeftMidPostTemp_GMV,0.312533186,0.206698859,1.316058258,19,1,pearson
mean_rt    LeftMidPostTemp_CT,0.074480031,0.768976113,0.2987499,19,1,pearson
mean_rt    LeftPostTemp_GMV,0.293533973,0.237118069,1.228241601,19,1,pearson
mean_rt    LeftPostTemp_CT,0.314549241,0.203628928,1.325476625,19,1,pearson
mean_rt    RightMidAntTemp_GMV,-0.042124844,0.868186245,-0.168649078,19,1,pearson
mean_rt    RightMidAntTemp_CT,-0.278981623,0.262250913,-1.162064594,19,1,pearson
mean_rt    RightMidPostTemp_GMV,0.024477551,0.923196742,0.097939548,19,1,pearson
mean_rt    RightMidPostTemp_CT,0.22607009,0.367038643,0.928313432,19,1,pearson
mean_rt    SSL_accuracy,-0.29781956,0.230020486,-1.247905466,19,1,pearson
mean_rt    scaled_rt_slope,0.124225745,0.623343199,0.500782048,19,1,pearson
mean_rt    TSL_subj_corr,-0.226368211,0.366390138,-0.929603681,19,1,pearson
mean_rt    VSL_subj_corr,-0.089047238,0.725309128,-0.357609591,19,1,pearson
mean_rt    LSL_subj_corr,-0.338741758,0.169117566,-1.440107044,19,1,pearson
mean_rt    eTIV,0.560020305,0.015648164,2.703848305,19,1,pearson
scaled_rt_slope    LeftAngG_GMV,-0.06795,0.788776175,-0.272429657,19,1,pearson
scaled_rt_slope    LeftAngG_CT,0.058574976,0.817416538,0.234702886,19,1,pearson
scaled_rt_slope    LeftIFG_GMV,-0.514952614,0.02875285,-2.402899737,19,1,pearson
scaled_rt_slope    LeftIFG_CT,-0.225214397,0.368903624,-0.92461157,19,1,pearson
scaled_rt_slope    LeftIFGorb_GMV,-0.452925795,0.059091361,-2.032086594,19,1,pearson
scaled_rt_slope    LeftIFGorb_CT,-0.380671683,0.119124248,-1.646663601,19,1,pearson
scaled_rt_slope    LeftMFG_GMV,-0.145765928,0.563850703,-0.589358589,19,1,pearson
scaled_rt_slope    LeftMFG_CT,-0.190434814,0.449103323,-0.775939061,19,1,pearson
scaled_rt_slope    LeftMidAntTemp_GMV,0.391010924,0.10861187,1.699334444,19,1,pearson
scaled_rt_slope    LeftMidAntTemp_CT,0.045224181,0.858577191,0.181081997,19,1,pearson
scaled_rt_slope    LeftMidPostTemp_GMV,-0.007542427,0.976304161,-0.030170568,19,1,pearson
scaled_rt_slope    LeftMidPostTemp_CT,-0.062939505,0.804053401,-0.252258163,19,1,pearson
scaled_rt_slope    LeftPostTemp_GMV,-0.002671037,0.9916075,-0.010684188,19,1,pearson
scaled_rt_slope    LeftPostTemp_CT,0.113474639,0.653920491,0.456849393,19,1,pearson
scaled_rt_slope    RightMidAntTemp_GMV,0.26890833,0.280583797,1.116768625,19,1,pearson
scaled_rt_slope    RightMidAntTemp_CT,0.152656103,0.545358383,0.617866194,19,1,pearson
scaled_rt_slope    RightMidPostTemp_GMV,-0.154122694,0.541457662,-0.623945859,19,1,pearson
scaled_rt_slope    RightMidPostTemp_CT,-0.057277392,0.821398853,-0.229486316,19,1,pearson
scaled_rt_slope    SSL_accuracy,-0.148036158,0.557727694,-0.598741595,19,1,pearson
scaled_rt_slope    mean_rt,0.124225745,0.623343199,0.500782048,19,1,pearson
scaled_rt_slope    TSL_subj_corr,-0.211871755,0.39866569,-0.867174059,19,1,pearson
scaled_rt_slope    VSL_subj_corr,-0.561521703,0.015312481,-2.714428923,19,1,pearson
scaled_rt_slope    LSL_subj_corr,-0.409534795,0.091462491,-1.795625408,19,1,pearson
scaled_rt_slope    eTIV,-0.999999973,1.52E-59,-17140.85824,19,1,pearson
TSL_subj_corr    LeftAngG_GMV,0.311442871,0.208371689,1.310972881,19,1,pearson
TSL_subj_corr    LeftAngG_CT,-0.359241116,0.14316319,-1.539750873,19,1,pearson
TSL_subj_corr    LeftIFG_GMV,0.222498695,0.374857607,0.912877899,19,1,pearson
TSL_subj_corr    LeftIFG_CT,0.228277183,0.362252845,0.937872136,19,1,pearson
TSL_subj_corr    LeftIFGorb_GMV,0.21968102,0.381091417,0.900727266,19,1,pearson
TSL_subj_corr    LeftIFGorb_CT,0.142866338,0.571713355,0.577388207,19,1,pearson
TSL_subj_corr    LeftMFG_GMV,0.175820784,0.485265647,0.714412112,19,1,pearson
TSL_subj_corr    LeftMFG_CT,-0.126169763,0.617874434,-0.508744601,19,1,pearson
TSL_subj_corr    LeftMidAntTemp_GMV,0.079726753,0.753164606,0.319925413,19,1,pearson
TSL_subj_corr    LeftMidAntTemp_CT,0.013238555,0.958420275,0.052958862,19,1,pearson
TSL_subj_corr    LeftMidPostTemp_GMV,0.063857789,0.801248282,0.255953554,19,1,pearson
TSL_subj_corr    LeftMidPostTemp_CT,-0.154323995,0.540923242,-0.624780668,19,1,pearson
TSL_subj_corr    LeftPostTemp_GMV,0.350210498,0.154232567,1.495553887,19,1,pearson
TSL_subj_corr    LeftPostTemp_CT,0.01926482,0.939520588,0.077073585,19,1,pearson
TSL_subj_corr    RightMidAntTemp_GMV,-0.100141136,0.692578854,-0.402588259,19,1,pearson
TSL_subj_corr    RightMidAntTemp_CT,0.260488855,0.296493746,1.079213256,19,1,pearson
TSL_subj_corr    RightMidPostTemp_GMV,0.343667623,0.162609918,1.463830425,19,1,pearson
TSL_subj_corr    RightMidPostTemp_CT,0.048078073,0.849745767,0.192534944,19,1,pearson
TSL_subj_corr    SSL_accuracy,0.051146643,0.840268997,0.204854695,19,1,pearson
TSL_subj_corr    mean_rt,-0.226368211,0.366390138,-0.929603681,19,1,pearson
TSL_subj_corr    scaled_rt_slope,-0.211871755,0.39866569,-0.867174059,19,1,pearson
TSL_subj_corr    VSL_subj_corr,-0.060566537,0.811312687,-0.242711728,19,1,pearson
TSL_subj_corr    LSL_subj_corr,0.333722295,0.175927876,1.416070473,19,1,pearson
TSL_subj_corr    eTIV,-0.999999999,4.85E-71,-89638.43835,19,1,pearson
VSL_subj_corr    LeftAngG_GMV,-0.030885594,0.903170322,-0.123601345,19,1,pearson
VSL_subj_corr    LeftAngG_CT,0.151158187,0.549355362,0.611660985,19,1,pearson
VSL_subj_corr    LeftIFG_GMV,0.261085171,0.295349356,1.081864315,19,1,pearson
VSL_subj_corr    LeftIFG_CT,0.018038343,0.943364911,0.072165115,19,1,pearson
VSL_subj_corr    LeftIFGorb_GMV,0.135015619,0.593233979,0.545053273,19,1,pearson
VSL_subj_corr    LeftIFGorb_CT,0.157842986,0.531619551,0.63938716,19,1,pearson
VSL_subj_corr    LeftMFG_GMV,0.011456964,0.964012213,0.045830864,19,1,pearson
VSL_subj_corr    LeftMFG_CT,0.083794814,0.740968769,0.33636223,19,1,pearson
VSL_subj_corr    LeftMidAntTemp_GMV,-0.713845074,0.000877271,-4.077345984,19,1,pearson
VSL_subj_corr    LeftMidAntTemp_CT,-0.506456039,0.031972424,-2.349419626,19,1,pearson
VSL_subj_corr    LeftMidPostTemp_GMV,-0.252054275,0.312966433,-1.041855381,19,1,pearson
VSL_subj_corr    LeftMidPostTemp_CT,-0.218030275,0.384770022,-0.8936198,19,1,pearson
VSL_subj_corr    LeftPostTemp_GMV,-0.178170442,0.479357363,-0.724270355,19,1,pearson
VSL_subj_corr    LeftPostTemp_CT,0.140832808,0.577255458,0.569002255,19,1,pearson
VSL_subj_corr    RightMidAntTemp_GMV,-0.294104662,0.236164955,-1.23085542,19,1,pearson
VSL_subj_corr    RightMidAntTemp_CT,-0.247300919,0.322484287,-1.020914582,19,1,pearson
VSL_subj_corr    RightMidPostTemp_GMV,-0.309107735,0.211984119,-1.300100739,19,1,pearson
VSL_subj_corr    RightMidPostTemp_CT,-0.187157514,0.45709053,-0.762096361,19,1,pearson
VSL_subj_corr    SSL_accuracy,0.253554471,0.309997574,1.048481081,19,1,pearson
VSL_subj_corr    mean_rt,-0.089047238,0.725309128,-0.357609591,19,1,pearson
VSL_subj_corr    scaled_rt_slope,-0.561521703,0.015312481,-2.714428923,19,1,pearson
VSL_subj_corr    TSL_subj_corr,-0.060566537,0.811312687,-0.242711728,19,1,pearson
VSL_subj_corr    LSL_subj_corr,0.109666829,0.664880487,0.441329236,19,1,pearson
VSL_subj_corr    eTIV,-0.999999999,6.72E-73,-117124.7238,19,1,pearson
LSL_subj_corr    LeftAngG_GMV,-0.275144208,0.269144528,-1.144761218,19,1,pearson
LSL_subj_corr    LeftAngG_CT,-0.479889322,0.043858021,-2.187955952,19,1,pearson
LSL_subj_corr    LeftIFG_GMV,0.085360081,0.736291614,0.342691089,19,1,pearson
LSL_subj_corr    LeftIFG_CT,-0.128659002,0.610899739,-0.518949049,19,1,pearson
